      lambda       flux         err
      10861.2      164754.      2287.94
      10863.9      165601.      1530.85
      10866.7      162376.      3038.27
      10869.5      164585.      1979.10
      10872.2      163380.      2021.33
      10875.0      162451.      1842.41
      10877.7      160187.      907.901
      10880.5      160068.      2012.82
      10883.3      158405.      2154.25
      10886.0      159888.      1123.58
      10888.8      162321.      3568.76
      10891.6      163999.      4127.85
      10894.3      163803.      4112.06
      10897.1      162482.      1227.93
      10899.9      162217.      1272.72
      10902.6      163492.      1837.48
      10905.4      161625.      2873.48
      10908.1      163738.      2602.39
      10910.9      161128.      2856.15
      10913.7      163943.      1489.73
      10916.4      164135.      1845.15
      10919.2      164039.      1976.55
      10922.0      166773.      4745.76
      10924.7      165169.      2465.13
      10927.5      165145.      1558.45
      10930.2      162956.      1403.23
      10933.0      161490.      1929.35
      10935.8      162067.      3418.96
      10938.5      158998.      2161.94
      10941.3      156739.      2173.57
      10944.1      155526.      3046.13
      10946.8      159619.      1509.28
      10949.6      162624.      1662.02
      10952.4      162164.      804.920
      10955.1      165579.      1770.66
      10957.9      165036.      3670.03
      10960.6      162042.      3624.51
      10963.4      160022.      2338.34
      10966.2      159284.      4224.18
      10968.9      157614.      3321.26
      10971.7      155874.      1179.87
      10974.5      156061.      1777.16
      10977.2      158521.      2731.98
      10980.0      156180.      1739.57
      10982.8      157045.      2870.43
      10985.5      157059.      1558.31
      10988.3      157962.      1145.01
      10991.0      158048.      2949.04
      10993.8      155246.      2852.57
      10996.6      161017.      3839.06
      10999.3      158367.      2392.62
      11002.1      159493.      1627.67
      11004.9      154934.      2292.75
      11007.6      159542.      1635.63
      11010.4      159425.          NaN
      11013.1      154745.          NaN
      11015.9      153403.          NaN
      11018.7      156759.          NaN
      11021.4      154527.          NaN
      11024.2      153254.          NaN
      11027.0      156183.          NaN
      11029.7      155925.          NaN
      11032.5      145926.          NaN
      11035.3      137222.          NaN
      11038.0      139307.          NaN
      11040.8      147082.          NaN
      11043.5      140755.          NaN
      11046.3      144260.          NaN
      11049.1      146353.          NaN
      11051.8      140230.          NaN
      11054.6      136505.          NaN
      11057.4      146847.          NaN
      11060.1      147811.          NaN
      11062.9      147615.          NaN
      11065.7      142595.      2774.50
      11068.4      139342.      1193.98
      11071.2      145431.      4223.57
      11073.9      149762.      5053.67
      11076.7      146006.      3518.99
      11079.5      147460.      1981.25
      11082.2      151119.      2773.44
      11085.0      151996.      4691.15
      11087.8      149953.      1268.68
      11090.5      152358.      3547.35
      11093.3      154275.      4512.77
      11096.0      150611.      1955.94
      11098.8      146761.      3610.76
      11101.6      144579.      4861.43
      11104.3      146950.      2033.97
      11107.1      147272.      3067.36
      11109.9      144771.      1300.43
      11112.6      144565.      3719.88
      11115.4      144404.      2473.20
      11118.2      145033.      3155.88
      11120.9      149077.      5030.96
      11123.7      155150.      5337.23
      11126.4      148585.      5570.23
      11129.2      160091.      4449.79
      11131.4      156907.      6298.18
      11134.6      151497.      5860.96
      11137.9      148937.      4554.11
      11141.1      152777.      3004.19
      11144.3      151900.      6164.01
      11147.6      156195.      2997.96
      11150.8      158775.      3954.00
      11154.0      154565.      3877.79
      11157.3      151918.      3797.32
      11160.5      160398.      4765.05
      11163.7      161836.      4903.62
      11167.0      153622.      1922.42
      11170.2      147618.      1642.13
      11173.4      146969.      3461.25
      11176.7      143757.      2221.03
      11179.9      146112.      1721.73
      11183.1      151031.      1982.27
      11186.4      152494.      2320.47
      11189.6      152096.          NaN
      11228.4      156513.          NaN
      11231.7      159539.          NaN
      11234.9      157280.      2192.30
      11238.1      157488.      1923.21
      11241.4      150434.      2433.39
      11244.6      148804.      1493.26
      11247.8      159006.      7312.26
      11251.1      171837.      7394.38
      11254.3      171618.      2889.82
      11257.5      158159.      4185.01
      11260.8      153677.      4112.22
      11264.0      152571.      2263.31
      11267.2      151029.      1815.98
      11270.5      160101.      1813.43
      11273.7      166902.      2752.81
      11276.9      163436.      727.818
      11280.2      147936.      1280.15
      11283.4      153150.      1139.79
      11286.6      158459.      660.056
      11289.9      165361.      1603.96
      11293.1      163745.      2293.59
      11296.3      166609.      4696.44
      11299.6      160314.      5249.69
      11302.8      160381.      5687.50
      11306.0      150457.      2832.63
      11309.3      150614.      2736.50
      11312.5      149982.      1141.89
      11315.7      151103.      1111.53
      11319.0      153153.      2673.42
      11322.2      153632.      3572.45
      11325.4      156677.      5489.82
      11328.7      159947.      8646.30
      11331.9      159798.      8952.85
      11335.1      158681.      8535.04
      11338.4      155465.      12540.6
      11341.6      152441.      8137.30
      11344.8      167478.      6833.42
      11348.1      154505.      10424.0
      11351.3      155907.      11984.1
      11354.5      158467.      8780.23
      11357.8      152266.      7170.07
      11361.0      150231.      6987.21
      11364.2      147742.      4518.36
      11367.5      143812.      2459.91
      11370.7      142683.      1317.24
      11374.0      143956.      2018.74
      11377.2      141597.      2902.12
      11380.4      139840.      1801.63
      11383.7      141217.      2144.36
      11386.9      140795.      3440.35
      11390.1      136208.      959.236
      11393.4      140356.      2835.39
      11396.6      141358.      4425.59
      11399.8      136306.      2358.34
      11403.1      130984.      3023.14
