      lambda       flux         err
      10979.4      48118.5      1580.27
      10982.2      47408.1      2217.17
      10985.0      49362.8      1637.09
      10987.7      49060.0      3014.69
      10990.5      48385.5      2118.45
      10993.2      47381.7      1561.91
      10996.0      47870.7      1699.23
      10998.8      44740.2      3505.71
      11001.5      45424.6      2354.15
      11004.3      45478.7      2110.35
      11007.1      45391.4      1090.56
      11009.8      45528.2      1669.84
      11012.6      45426.4          NaN
      11015.4      44945.6          NaN
      11018.1      47175.9          NaN
      11020.9      45752.3          NaN
      11023.7      45676.9          NaN
      11026.4      39879.2          NaN
      11029.2      40135.8          NaN
      11032.0      44285.1          NaN
      11034.7      40185.5          NaN
      11037.5      37041.6          NaN
      11040.2      39900.0          NaN
      11043.0      39640.3          NaN
      11045.8      39211.8          NaN
      11048.5      39090.3          NaN
      11051.3      40117.1          NaN
      11054.1      35019.1          NaN
      11056.8      45309.5          NaN
      11059.6      38950.8          NaN
      11062.4      42878.6          NaN
      11065.1      41209.1          NaN
      11067.9      39187.7          NaN
      11070.7      39877.5          NaN
      11073.4      42771.7          NaN
      11076.2      41342.6          NaN
      11078.4      43976.1      1385.11
      11081.7      42990.8      1435.91
      11084.9      44669.0      1906.99
      11088.1      44182.2      946.890
      11091.4      43589.9      1088.34
      11094.6      43191.6      2006.90
      11097.8      43326.2      2119.99
      11101.0      43233.9      1547.31
      11104.3      42925.2      1736.89
      11107.5      42254.1      1843.43
      11110.7      42196.8      1972.25
      11114.0      40053.2      1653.34
      11117.2      41859.4      1249.53
      11120.4      42664.5      1456.01
      11123.6      41934.9      939.081
      11126.9      42362.6      489.147
      11130.1      42783.6      742.485
      11133.3      42922.8      1102.29
      11136.6      42899.9      1489.94
      11139.8      42666.0      1056.69
      11143.0      44522.8      1277.61
      11146.2      45483.8      1721.98
      11149.5      44641.3      2155.94
      11152.7      45887.6      1944.19
      11155.9      44390.4      1339.62
