#Spectrum of PZTelB from Maire et al. 2016
#Distance assumed: 51.49 +/-2.47 pc (Hipparcos).
#Flux-calibrared using the H-band mag reported in Bejar et al. 2008
#Resolving power: 50
#Wavelength [microns] Flux at 10 pc [W.m-2.microns-1]	Flux error [W.m-2.microns-1]
     0.953000  8.46615e-13  4.46397e-13
     0.953100  8.46768e-13  4.39821e-13
     0.953200  8.46920e-13  4.33248e-13
     0.953300  8.47073e-13  4.26679e-13
     0.953400  8.47226e-13  4.20119e-13
     0.953500  8.47378e-13  4.13558e-13
     0.953600  8.47531e-13  4.07002e-13
     0.953700  8.47683e-13  4.00455e-13
     0.953800  8.47836e-13  3.93908e-13
     0.953900  8.47988e-13  3.87367e-13
     0.954000  8.48141e-13  3.80832e-13
     0.954100  8.48294e-13  3.74306e-13
     0.954200  8.48446e-13  3.67782e-13
     0.954300  8.48599e-13  3.61264e-13
     0.954400  8.48751e-13  3.54758e-13
     0.954500  8.48904e-13  3.48254e-13
     0.954600  8.49057e-13  3.41758e-13
     0.954700  8.49209e-13  3.35270e-13
     0.954800  8.49362e-13  3.28794e-13
     0.954900  8.49514e-13  3.22323e-13
     0.955000  8.49667e-13  3.15862e-13
     0.955100  8.49796e-13  3.10201e-13
     0.955200  8.49802e-13  3.08644e-13
     0.955300  8.49807e-13  3.07087e-13
     0.955400  8.49813e-13  3.05530e-13
     0.955500  8.49819e-13  3.03976e-13
     0.955600  8.49825e-13  3.02420e-13
     0.955700  8.49831e-13  3.00866e-13
     0.955800  8.49836e-13  2.99312e-13
     0.955900  8.49842e-13  2.97760e-13
     0.956000  8.49848e-13  2.96208e-13
     0.956100  8.49854e-13  2.94656e-13
     0.956200  8.49859e-13  2.93105e-13
     0.956300  8.49865e-13  2.91556e-13
     0.956400  8.49871e-13  2.90006e-13
     0.956500  8.49877e-13  2.88457e-13
     0.956600  8.49883e-13  2.86910e-13
     0.956700  8.49888e-13  2.85363e-13
     0.956800  8.49894e-13  2.83817e-13
     0.956900  8.49900e-13  2.82271e-13
     0.957000  8.49906e-13  2.80727e-13
     0.957100  8.49912e-13  2.79183e-13
     0.957200  8.49917e-13  2.77640e-13
     0.957300  8.49923e-13  2.76098e-13
     0.957400  8.49929e-13  2.74557e-13
     0.957500  8.49935e-13  2.73016e-13
     0.957600  8.49941e-13  2.71477e-13
     0.957700  8.49946e-13  2.69939e-13
     0.957800  8.49952e-13  2.68401e-13
     0.957900  8.49958e-13  2.66864e-13
     0.958000  8.49964e-13  2.65329e-13
     0.958100  8.49970e-13  2.63794e-13
     0.958200  8.49975e-13  2.62260e-13
     0.958300  8.49981e-13  2.60727e-13
     0.958400  8.49987e-13  2.59196e-13
     0.958500  8.49993e-13  2.57665e-13
     0.958600  8.49999e-13  2.56136e-13
